阿拉丁与神灯,青年阿拉丁（凯文·亚当斯 饰）在一次偶然事件中得到一把神灯，触摸这把神灯就会出现一位神仙来满足他的愿望，穷小伙阿拉丁爱上了王国的公主，但邪恶的魔法师百般阻挠······,"喜剧,爱情"
非常绑架,何家成和强子是两个在北京打工的北漂，二人为了改变命运，追求理想煞费苦心，何家成无意间看到了一则理财的广告单，被安之财富公司老板董天的富有煽动的演讲打动，决定和强子到安之财富公司做理财产品，没想到本金被骗。二人来到董天家绑架董天女友要挟要钱，一场撕逼闹剧就此上演。,剧情
情比山高,本片是一部关于滇缅公路题材的影片。年轻的筑路员王俊荣（王柏杰 饰）来到云南大山里两个古老的山寨，动员当地民众欲修筑一条云南通往外部世界的公路“滇缅公路”。在那里他爱上了当地一个思想先进而又具有冒险精神的佤族少女李鹭（刘小小 饰），并在其帮助之下动员当地原住民共同参与进来，简单的心愿、坚定的信念让他们共同创造了一个震惊世界的奇迹。,"剧情,战争"
兄弟之北漂歌手,讲述了60至90年代四代音乐人追梦的故事。酒吧驻唱歌手兰佳佳和四个不同年代的男人在音乐的指引下聚到了一起，他们共同经历了兄弟酒吧的兴衰沉浮和人生的悲欢离合后，最终解开了心结并且帮助死去的阿布完成了音乐梦想。,"剧情,爱情"
红颜容,讲述了一个聪明且智慧的女人如何通过炒作来推销东西的故事。白冰（梁嘉玲 饰）天生的炒作高手，将一瓶中文名为“红颜容”的红酒炒到了500万元，无数商业巨贾蜂拥而至。但只有白冰知道，这瓶红酒是法国人为了营销炒作出来的。事情是否会峰回路转？炒作高手白冰最后的底牌是什么？,
我不是潘金莲,影片讲述一个普通的农村妇女李雪莲（范冰冰 饰），为了纠正一句话，与上上下下、方方面面打了十年交道。打交道的过程中，她没想到一件事变成了另一件事，接着变成了第三件事。十年过去，她没有把这句话纠正过来，但她饱尝了世间的人情冷暖，悟明白了另外一个道理。李雪莲要纠正的这句话是她前夫说的。她前夫说：“你是李雪莲吗？我咋觉得你是潘金莲呢？”李雪莲要告诉大家的是：我不是潘金莲。,
勇士之门,废柴男孩机缘巧合地开启了异世界的大门，卷入了一场惊心动魄的种族斗争：武士（赵又廷 饰）和公主（倪妮 饰）与蛮人军队斗智斗勇，不仅如此，两位身负国家和种族命运的勇士还要面对凶悍的蛮人和伺机夺命的巨人、树妖等精怪。一次次险象环生的经历，他们一直在等待传说中的黑骑士到来……,
深海浩劫,本片改编自真实事件，讲述一队石油工人在面临有史以来最严重的人为灾难时，以无上的勇气和坚定的意志，与灾难搏斗奋力自救的故事。离岸40英里以外，广阔的墨西哥湾洋面上矗立着世界顶尖的海上钻井平台“深水地平线”。平台副经理麦克·威廉姆斯（马克·沃尔伯格 饰）带领自己的团队即将完成一次破纪录深度的钻井作业。不料突发井压不稳和压冲导致紧急安全系统失灵，随即引发连环爆炸，深海原油冲破井盖喷涌出来，形成数十米高的油柱，冲天大火随之而来。数百万吨原油倾泻而出，整个钻井平台及附近的海平面都被遮天浓烟和熊熊大火包围，变成人间炼狱，126名钻井工人被困其中。因火势太大，海上救援队伍无法靠近。麦克带领几名勇敢的同伴，展开自救行动。他们搜救伤者、安排撤离，坚守到最后一刻。钻井平台即将沉没，麦克和他的同伴必须在水深火热之中逃出生天。,
阿拉丁与神灯,穷小伙阿拉丁（凯文·亚当斯 饰），因惹怒了大臣维齐尔被流放沙漠，受一名魔法师相救被邀请坐飞毯前往取一只神奇的油灯，触摸这把神灯出现一位精灵来满足他的愿望。穷小伙阿拉丁爱上了王国的公主（凡妮莎·吉德 饰），但邪恶的维齐尔和魔法师百般阻挠……,
我是处女座,这是一个女孩寻求真爱的故事，这是一个在生活观念改变了的环境里，一个女孩找寻自我的故事。这是一个处女通过寻求人生出口的奇遇故事。幸运的是在经历一番人生救赎中她最终找到了自己。,
辣警霸王花,六名警校女菜鸟在一场淘汰赛测试中因事态超出控制拒绝服从命令而失去了进入精英团队的资格，在她们心灰意冷离开警校时，一位神秘长官突然出现，通知她们正式成为“霸王花”团队——二十五年前因任务失败而惨遭解散的组织，目前正在寻求新鲜力量重振雄风。交给她们的第一个任务就是抓住臭名昭著外号“总统”的恐怖分子，此人也是导致“霸王花”组织25年前解散的罪魁祸首。他掳走韩国的细菌专家，研究出一个透过人体高效传播的新型病毒。看似危险重重可急切想成为真正警察的六名姑娘还是毫不犹豫的接受了这一场不知生死的任务……,
隔离岛,在一座与世隔绝的孤岛上，曾经隔离着上百名麻风病患者，三十年前的一场大火，将这里的麻风病院化为灰烬，大火本身已渐成传说。三十年后，警校学生殷浩（张一山 饰）为在自己的女朋友，电影编导系学生小暖（丁丁 饰）面前显示自己男人的一面，带着她登上了隔离岛，拍摄纪录片，探寻大火真相。已经被人遗忘的隔离岛突然风浪骤起，死火复燃，殷浩和小暖“致命真相”的旅程由此开启......,
冲天火,宗天保（吴彦祖 饰）任职护卫员的科学园大火，他舍身救了女研究员高玉（张静初 饰）。但研究所潘教授在大火中不幸辞世，潘教授的手写笔记在大火中消失。大火引发了灰尘风暴，令整个香港被雾霾卷盖。财阀王耀才投资的“天空一号”，让富人得以远离污染，而己故潘教授的助理唐永章（樊光耀 饰）变成他的合作伙伴，唐的发妻高玉继续在天空一号上钻研“超能干细胞”的“再生学”工作，完成潘教授的遗愿。从台湾来的家家（张孝全 饰）带着癌症末期的妹妹小珍（郭采洁 饰）来香港求医，怎料两兄妹因此卷入一场“超能力干细胞”的劫案中，而偷走这新科研血清的主脑，竟是已故潘教授的独生子潘子文（张若昀 饰），在争夺血清的过程中，子文逐渐发现了令父亲潘教授死亡的真正凶手……,"动作,悬疑"
白云桥,事起源于浙江余姚有1300多年历史的著名古建筑白云桥，此桥经常出现一半晴空一半云雾的灵异现象，相传是连接阴阳两界的桥梁，人在桥上可与鬼魂进行交流。孟妍（钟萱 饰）于午夜子时，在白云桥上遇见了一个小男孩（李卓霖 饰），小男孩引领她进入了另一个空间——“中阴界”。小男孩告诉孟妍一个惊天的秘密， 事关她与张青（温兆伦 饰）的夫妻关系和性命安危。孟妍将信将疑又陷入痛苦和焦虑，小男孩的预言一一应验，孟妍陷入崩溃的边缘，唯有到那阴森神秘的白云桥去寻找答案……,"恐怖,惊悚,悬疑"
神奇动物在哪里,影片讲述了神奇动物学家纽特·斯卡曼德因在纽约城发生的一次意外而不得不去寻找从魔法箱里脱逃的珍奇异兽而展开的冒险旅程。1926年，纽约城魔法世界风起云涌。多个神秘物体在城中大肆破坏，令魔法界陷入了被誓要铲除魔法师的激进灭魔组织“第二塞勒姆”发现的危机之中。而史上最危险的黑巫师盖勒特·格林德沃在欧洲造成灾难毁灭性的破坏后，失去踪影。刚完成环球游历之旅且身怀绝技的神奇动物学家纽特·斯卡曼德（埃迪·雷德梅恩 饰）并未察觉到危机，抵达了他原本只想短暂停留驻足的纽约城。他在旅途中研究并拯救珍奇魔法动物，有一部分更被收集进了他那个看似普通无奇却暗藏玄机，并作为全球珍稀和濒危神奇动物的保护栖息地的魔法手提皮箱。对魔法一无所知的灭魔组织成员雅各布（丹·福勒 饰）意外将斯卡曼德藏在皮箱的奇兽释放到气氛紧张的纽约城中，严重违反了国际巫师联合会保密法。前正气师蒂娜（凯瑟琳·沃特森 饰）插手事件，意图恢复职位。可是事情的进展并不顺利，美国魔法政府机构美利坚魔法国会高深莫测的魔法安全部部长格雷夫斯（柯林·法瑞尔 饰）更将矛头指向斯卡曼德和蒂娜。现在身处同一阵线的斯卡曼德和蒂娜，与蒂娜的妹妹一名法术高超的摄念师奎妮（艾莉森·苏朵儿 饰）及灭魔组织成员雅各布携手，在那些走失的奇兽作恶前找回它们。但事件远比他们想像中更加凶险，被卷入黑暗力量的他们，将魔法世界和灭魔组织引向了开战边......,"冒险,奇幻,家庭"
少年梦,杨帅大学毕业后回到老家发展创业，带动父老乡亲发展创业，实现乡亲们的梦想，实现发展梦、创业梦、中国梦。,剧情
最萌身高差,生活在二次元世界、身高156厘米的夏汐泠（王水林 饰）在遇到身高196厘米的三次元男生张潇（高以翔 饰）后，就一直祸事不断。无意中二人还因为“最萌身高差”大闹校园，夏汐泠认定张潇是渣男，但张潇却对她颇有兴趣，当他试图走近夏汐泠的内心时，却发现里面有一个不可碰触的禁区，为了走进这个禁区，张潇为夏汐泠创造了一个2.5次元的世界……,"喜剧,爱情"
怨灵地下室,民国年间，国家动荡，民生不安，在中国东北某地有一间地下福利院，专门收养鳏寡孤独废疾者。一天夜里，邓家夫人突发癔病，江湖游医刘少彦（倪新宇 饰）等四人来到邓家为其夫人医病，不料邓夫人却离奇死亡，刘少彦四人被官兵带走，为了证明清白与赎回兄弟，刘少彦带人乔装打扮前往邓夫人临死前呓语说到的福利院找寻线索，不料却发现名义上的福利院实则暗藏了很多秘密，阴森诡异的地下室、警觉的护士、神秘的院长、午夜疯吼的女子，一系列难以解释的灵异事件开始接连发生，而邓夫人的死亡真相与福利院的关系也逐渐浮出水面。,"恐怖,惊悚,悬疑"
夜闯寡妇村,京城某医学院即将毕业的叶小妍（郭艳 饰）、陈亦凡（沈昌龙 饰）等六名大学生准备去某风景区旅行。山路崎岖，天黑雾大，车竟然闯进了山中禁地。发动机失灵，几人只得徒步前进。叶小妍一行人惊奇的发现这里只有女人而无男人，而村民们躲躲闪闪的语气和冷漠的拒绝更是令人匪夷所思。这个远近闻名的“寡妇村”到底隐藏着什么秘密，旅游者是重见天日还是永久的掩埋于村中，谁才是幕后真正的凶手呢？,购票
神奇动物在哪里,影片讲述了神奇动物学家纽特·斯卡曼德因在纽约城发生的一次意外而不得不去寻找从魔法箱里脱逃的珍奇异兽而展开的冒险旅程。1926年，纽约城魔法世界风起云涌。多个神秘物体在城中大肆破坏，令魔法界陷入了被誓要铲除魔法师的激进灭魔组织“第二塞勒姆”发现的危机之中。而史上最危险的黑巫师盖勒特·格林德沃在欧洲造成灾难毁灭性的破坏后，失去踪影。刚完成环球游历之旅且身怀绝技的神奇动物学家纽特·斯卡曼德（埃迪·雷德梅恩 饰）并未察觉到危机，抵达了他原本只想短暂停留驻足的纽约城。他在旅途中研究并拯救珍奇魔法动物，有一部分更被收集进了他那个看似普通无奇却暗藏玄机，并作为全球珍稀和濒危神奇动物的保护栖息地的魔法手提皮箱。对魔法一无所知的灭魔组织成员雅各布（丹·福勒 饰）意外将斯卡曼德藏在皮箱的奇兽释放到气氛紧张的纽约城中，严重违反了国际巫师联合会保密法。前正气师蒂娜（凯瑟琳·沃特森 饰）插手事件，意图恢复职位。可是事情的进展并不顺利，美国魔法政府机构美利坚魔法国会高深莫测的魔法安全部部长格雷夫斯（柯林·法瑞尔 饰）更将矛头指向斯卡曼德和蒂娜。现在身处同一阵线的斯卡曼德和蒂娜，与蒂娜的妹妹一名法术高超的摄念师奎妮（艾莉森·苏朵儿 饰）及灭魔组织成员雅各布携手，在那些走失的奇兽作恶前找回它们。但事件远比他们想像中更加凶险，被卷入黑暗力量的他们，将魔法世界和灭魔组织引向了开战边缘......,"冒险,奇幻,家庭"
海洋奇缘,在2000年前的南太平洋小岛上，那里居住着一个爱好航海的波里尼西亚人部落，部落酋长有一个独生女叫摩瓦娜·瓦里基（奥伊伊·卡瓦略 饰），在祖母的鼓励下她一心想去探索临近的岛屿，但她的父亲不许。于是摩瓦娜就在祖母死后，偷偷划船溜出岛，去寻找传说中的岛屿。她有两位同行的伙伴，一个是公鸡Hei（艾伦·图代克 饰），一个是猪Pua。摩瓦娜一行在一座小岛上搁浅了，这时一座图腾雕像Maui（道恩·强森 饰）活了，他是南太平洋岛国神话里的超级英雄，可以变成鸟儿，身上刻着很多可以活过来的纹身，还有一个法宝是魔法鱼钩。接下来摩阿娜就和他一起前往开放的海洋、克服各种凶险，以完成祖先在一千年前未尽的航程。,"动画,动作,冒险"
